CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE
40395298,T-BONE DINER,QUEENS,107-48,QUEENS BOULEVARD,11375,7182617744
40395310,SUNRISE COFFEE SHOP,QUEENS,45-04,PARSONS BOULEVARD,11355,7188864855
40395313,MY THREE SONS RESTAURANT,BROOKLYN,7121,FT HAMILTON PARKWAY,11228,7188361579
40395333,CHICKEN DELICIOUS,BROOKLYN,286,KINGS HIGHWAY,11223,7189988878
40395343,FELIX,MANHATTAN,340,WEST BROADWAY,10013,2124310021
40395366,MIKE'S DONUTS,BROOKLYN,6822,5 AVENUE,11220,7187456980
40395375,ILDA'S PLACE II,QUEENS,8122,BAXTER AVENUE,11373,7188987207
40395376,LE PETIT CAFE,MANHATTAN,156,SPRING STREET,10012,2122199723
40395480,BROADWAY STATION,QUEENS,30-09,BROADWAY,11106,7185455869
40395505,PORTO PRINCE STAR RESTAURANT,QUEENS,221-13,LINDEN BOULEVARD,11411,7185259006
40395511,WHITE CASTLE,BRONX,2900,EAST TREMONT AVENUE,10461,7187927659
40395516,ALPHA DONUTS,QUEENS,45-16,QUEENS BOULEVARD,11104,7184724725
40395525,MCDONALD AVENUE DINER,BROOKLYN,1111,MCDONALD AVENUE,11230,7189518475
40395526,MEZCAL'S DOS RESTAURANT,BROOKLYN,7508,3 AVENUE,11209,7187487007
40395551,SUGAR BUN BAKERY,QUEENS,15622,CROSS BAY BOULEVARD,11414,7188439233
40395554,COUNTRY DONUTS,STATEN ISLAND,3235,RICHMOND AVENUE,10312,7189677111
40395568,FRANK'S PLACE,BROOKLYN,365,SMITH STREET,11231,7188755449
40395597,ELMHURST FAMOUS PIZZA,QUEENS,83-07,BROADWAY,11373,7182713000
40395653,MCDONALD'S,BRONX,300,EAST 204 STREET,10467,7186531387
40395691,CAMILLES,MANHATTAN,113335,AMSTERDAM AVENUE,10025,2127492428
40395723,OLYMPIC FLAME DINER,MANHATTAN,200,WEST   60 STREET,10023,2125815259
40395748,INDIGO INDIAN CUISINE,MANHATTAN,357,EAST 50 STREET,10022,2124211919
40395774,CARUSO PIZZERIA & RESTAURANT,BROOKLYN,150,SMITH STREET,11201,7187972300
40395826,JAVA RESTAURANT,BROOKLYN,455,7 AVENUE,11215,7188324583
40395858,TEQUILLA SUNRISE,QUEENS,34-37,BELL BOULEVARD,11361,7186310377
40395860,LES HALLES,MANHATTAN,411,PARK AVENUE SOUTH,10016,2126794111
40395865,PIZZA NOSH,BROOKLYN,2807,NOSTRAND AVENUE,11229,7182533200
40395872,CARIDAD RESTAURANT,MANHATTAN,3533,BROADWAY,10031,2128624053
40395882,WHITE CASTLE,QUEENS,98-08,ROCKAWAY BOULEVARD,11417,7186416870
40395892,THE STUMBLE INN,MANHATTAN,1454,2 AVENUE,10021,2126500561
40395906,ROSA #2 PIZZERIA,QUEENS,7559,METROPOLITAN AVENUE,11379,7188944707
40395910,MCDONALD'S,QUEENS,250-01,NORTHERN BOULEVARD,11362,7182297701
40395921,GOLDEN PIZZA,BRONX,504,EAST  138 STREET,10454,7186658328
40395935,MCDONALD'S,STATEN ISLAND,1660,RICHMOND AVENUE,10314,7184943400
40395992,MCDONALD'S,BRONX,2516,WHITE PLAINS ROAD,10467,7188827541
40395996,HOT & CRUSTY BAKERY,MANHATTAN,84,EAST 42 STREET,10017,2123380260
40396000,JULES BISTRO,MANHATTAN,65,ST MARKS PLACE,10003,2124775560
40396019,IL VIOLINO,MANHATTAN,180,COLUMBUS AVENUE,10023,2128732500
40396020,FRENCH ROAST,MANHATTAN,78,WEST   11 STREET,10011,2125332233
40396037,SMILER'S DELI,MANHATTAN,532,MADISON AVENUE,10022,2126441090
40396053,CHICK-N-RIBS,BRONX,780,MORRIS PARK AVE,10462,7184092441
40396066,TWO BOOTS TO GO-GO,MANHATTAN,74,BLEEKER STREET,10012,2127771033
40396074,MENDY'S,MANHATTAN,10,PARK AVENUE,10016,2125761010
40396126,EUROPA CAFE,MANHATTAN,205,WEST   57 STREET,10019,2129774030
40396152,HARRY'S BURRITO JUNCTION,MANHATTAN,241,COLUMBUS AVENUE,10023,2125809494
40396159,CARMINE'S,MANHATTAN,200,WEST 44 STREET,10036,2122213800
40396183,HI FI,MANHATTAN,169,AVENUE A,10009,2124208392
40396215,GENNARO'S REST & PIZZERIA,STATEN ISLAND,413,NEW DORP LANE,10306,7189792382
40396230,QUEENS COFFEE SHOP,QUEENS,10880,ROOSEVELT AVENUE,11368,7184293552
40396231,DELMONICO GOURMET,MANHATTAN,375,LEXINGTON AVENUE,10017,2126610150
40396246,LANGANS BAR & RESTAURANT,MANHATTAN,150,WEST   47 STREET,10036,2128695482
40396256,RITMO'S 60,QUEENS,3223,STEINWAY STREET,11103,7182041101
40396264,DA NICO RESTAURANT,MANHATTAN,164,MULBERRY STREET,10013,2123431212
40396267,ARHARN THAI CUISINE,QUEENS,3205,36 AVENUE,11106,7187285563
40396381,LA DINASTIA,MANHATTAN,4059,BROADWAY,10032,2129286605
40396395,CAFE LOUP,MANHATTAN,105,WEST   13 STREET,10011,2122554746
40396399,MCDONALD'S,BRONX,5167,EAST  161 STREET,10451,7185901990
40396421,CAFFE ROMA,MANHATTAN,385,BROOME STREET,10013,2122268413
40396433,CHRISTINA'S RESTAURANT,BROOKLYN,853,MANHATTAN AVENUE,11222,7183834382
40396445,POLLOS A LA BRASA,QUEENS,81-01,ROOSEVELT AVENUE,11372,7186395555
40396464,ESS-A-BAGEL,MANHATTAN,831,THIRD AVENUE,10022,2129801010
40396488,AUCTION HOUSE,MANHATTAN,300,EAST   89 STREET,10128,2124274458
40396492,ROYAL KING'S PIZZA,BROOKLYN,5211,5 AVENUE,11220,7184923846
40396494,CORNER CAFE AND BAKERY,MANHATTAN,1645,THIRD AVENUE,10128,2128608060
40396496,MR. PHIL'S PIZZA,BROOKLYN,7212,NEW UTRECHT AVENUE,11228,7182344106
40396521,TEE DEE'S TAVERN,QUEENS,64-31,COOPER AVENUE,11385,7188218229
40396532,METRO DINER,MANHATTAN,2641,BROADWAY,10025,2128660800
40396543,IRISH EYE BAR,MANHATTAN,5008,BROADWAY,10034,2125679072
40396548,PUGSLEY PIZZA,BRONX,590,EAST  191 STREET,10458,7183650327
40396574,MONTEBELLO RESTAURANT,MANHATTAN,120,EAST   56 STREET,10022,2127531447
40396596,NEW WAVE CAFE & RESTAURANT,MANHATTAN,2210,BROADWAY,10024,2128737448
40396598,ROCKAWAY BEACH INN,QUEENS,8822,ROCKAWAY BEACH BOULEVARD,11693,3472467433
40396605,EVERGREEN RESTAURANT,MANHATTAN,145,WEST   47 STREET,10036,2129217676
40396622,MEDITERRANEO,MANHATTAN,1260,2 AVENUE,10065,2127347407
40396706,MARKET CAFE,MANHATTAN,496,9 AVENUE,10018,2125647350
40396769,POPEYES CHICKEN & BISCUITS,QUEENS,21820,JAMAICA AVENUE,11428,7184659510
40396889,LA ANTIOQUENA BAKERY II,QUEENS,4007,NATIONAL STREET,11368,7182051314
40396892,PARADISE ALLEY BAR,QUEENS,41-09,150 STREET,11355,7184606941
40396906,FLANNERY'S BAR,MANHATTAN,205,WEST   14 STREET,10011,2122292122
40396927,MANHATTAN ESPRESSO,MANHATTAN,146,EAST   49 STREET,10017,2128323010
40397029,ANGELO'S PIZZERIA/MIMMO'S RESTAURANT,STATEN ISLAND,6,SNEDEN AVENUE,10312,7183564233
40397056,SHARMEL CATERERS,QUEENS,728,EMPIRE AVENUE,11691,7183273575
40397075,EXCELSIOR CATERING,STATEN ISLAND,2380,HYLAN BOULEVARD,10306,7189874800
40397082,MOTIVO,MANHATTAN,915,BROADWAY,10010,2125057400
40397110,DEVON & BLAKELY,MANHATTAN,461,FIFTH AVENUE,10017,2126844321
40397116,TOLEDO,MANHATTAN,6,EAST   36 STREET,10016,2126965036
40397159,KELLEY & PING,MANHATTAN,127,GREENE STREET,10012,2122281212
40397180,SOUEN RESTAURANT,MANHATTAN,28,EAST   13 STREET,10003,2126277150
40397189,BAGEL BOB'S,MANHATTAN,51,UNIVERSITY PLACE,10003,2125332627
40397190,BRAVO PIZZA,MANHATTAN,1367,BROADWAY,10018,2122684499
40397219,WHITE CASTLE,BRONX,931,WESTCHESTER AVENUE,10459,7185422101
40397243,CAFFE GRAZIE,MANHATTAN,26,EAST   84 STREET,10028,2127174407
40397305,"SUGAR HILL RESTAURANT, SUPPER CLUB AND DISCO",BROOKLYN,609,DEKALB AVENUE,11216,7187971727
40397329,HAPISGAH RESTAURANT,QUEENS,14725,UNION TURN PIKE,11367,7183804449
40397335,ARIRANG HIBACHI STEAKHOUSE,BROOKLYN,8812,4 AVENUE,11209,7182389880
40397349,SALISBURY HOTEL,MANHATTAN,123,WEST   57 STREET,10019,2122461300
40397354,LA LUNCHEONETTE,MANHATTAN,130,TENTH AVENUE,10011,2126750342
40397359,MCCOY'S PUB,MANHATTAN,768,9 AVENUE,10019,9179290363
40397374,MUSTANG SALLY'S RESTAURANT,MANHATTAN,324,SEVENTH AVENUE,10001,2126953806
40397439,BEN'S KOSHER DELI & RESTAURANT,QUEENS,211-37,26 AVENUE,11360,7182292367
40397458,LUCIA PIZZA,QUEENS,13655,ROOSEVELT AVENUE,11354,7184451313
40397478,LE COLONIAL,MANHATTAN,149,EAST   57 STREET,10022,2127520808
40397486,CREDIT AGRICOLE-CBI EXECUTIVE ROOM,MANHATTAN,1301,AVENUE OF THE AMERICAS,10019,2122617104
40397492,MANHATTAN DINER,MANHATTAN,2532,BROADWAY,10025,2129320068
40397520,SHARAKU JAPANESE RESTAURANT,MANHATTAN,14,STUYVESANT STREET,10003,2125980403
40397574,DOMINICK'S BAR & RESTAURANT,BRONX,2335,ARTHUR AVENUE,10458,7187332807
40397624,LE MIRAGE CAFE,MANHATTAN,20,WEST   43 STREET,10036,2123541234
40397625,LA VILLA PIZZERIA,BROOKLYN,6610,AVENUE U,11234,7182518030
40397626,JENTANA'S PIZZA,BROOKLYN,5102,FT HAMILTON PARKWAY,11219,7188714050
40397642,EUROPA NIGHT CLUB,BROOKLYN,98104,MESEROLE AVENUE,11222,9178261119
40397676,MORTON'S STEAKHOUSE,MANHATTAN,5,EAST 45 STREET,10017,2129723315
40397687,USAGI,MANHATTAN,320,EAST   49 STREET,10017,2129352002
40397700,THE MERCURY LOUNGE,MANHATTAN,217,EAST HOUSTON STREET,10002,2122604700
40397723,WHITE CASTLE,STATEN ISLAND,2221,HYLAN BOULEVARD,10306,7189802840
40397725,GOURMET GRILL,BROOKLYN,6334,AVENUE N,11234,7182412345
40397763,ALFONSO'S BAR,QUEENS,7515,BROADWAY,11373,7184581068
40397775,BAMBOO GARDEN,QUEENS,107-04,ATLANTIC AVENUE,11416,7188491611
40397780,VIRGIL'S BBQ,MANHATTAN,152,WEST 44 STREET,10036,2129219494
40397791,PYRAMID,MANHATTAN,101,AVENUE A,10009,2122284888
40397797,TOAD HALL,MANHATTAN,57,GRAND STREET,10013,2124318145
40397810,OLYMPIA,QUEENS,2344,STEINWAY STREET,11105,7182784460
40397863,ZARO'S BREAD BASKET,BRONX,29,HUGH GRANT CIRCLE,10462,7188229181
40397886,LANDMARK COFFEE SHOP,MANHATTAN,158,GRAND STREET,10013,2123340040
40397916,CATERINA'S PIZZERIA,BROOKLYN,907,LIVONIA AVENUE,11207,6464703013
40397962,BEN ASH DELICATESSEN,MANHATTAN,855,7 AVENUE,10019,2122651818
40398024,PAX WHOLESOME FOODS,MANHATTAN,485,MADISON AVENUE,10022,2126441189
40398045,MIKES PIZZA,MANHATTAN,415,SECOND AVENUE,10010,2125325196
40398125,LA LOCANDA RESTAURANT,BROOKLYN,432,GRAHAM AVENUE,11211,7183497800
40398138,PADDY QUINNS,QUEENS,4207,162 STREET,11358,7183599820
40398150,CJ SULLIVAN'S,QUEENS,213-10,41 AVENUE,11361,7182240060
40398306,LA GIOCONDA,MANHATTAN,226,EAST 53 STREET,10022,2123713536
40398367,MCDONALD'S,QUEENS,30-01,STRATTON STREET,11354,7185394570
40398389,BURGER KING,QUEENS,24202,61 AVENUE,11362,7182295701
40398410,WEISS CAFE ROCKEFELLER UNIVERSITY,MANHATTAN,1188,YORK AVENUE,10065,2123278890
40398416,HOME DELI & CATERING,QUEENS,71-35,73 PLACE,11385,7186284005
40398434,CURRY IN A HURRY,MANHATTAN,119,LEXINGTON AVENUE,10016,2124174361
40398440,NICK'S PIZZA,QUEENS,10826,ASCAN AVENUE,11375,7182631126
40398447,DUNKIN' DONUTS,BROOKLYN,1309,FULTON STREET,11216,7186367823
40398475,PHOENIX GARDEN,MANHATTAN,242,EAST   40 STREET,10016,2129836666
40398531,TRATTORIA ROMANA,STATEN ISLAND,1476,HYLAN BOULEVARD,10305,7189803113
40398532,PAVILLION CATERERS,BROOKLYN,1478,39 STREET,11218,7188511162
40398549,PERRY'S RESTAURANT,BROOKLYN,3482,NOSTRAND AVENUE,11229,7189349800
40398554,SAN MARTIN,MANHATTAN,143,EAST   49 STREET,10017,2128320888
40398561,TOM AND JERRY BAR,MANHATTAN,288,ELIZABETH STREET,10012,2122605045
40398571,STARBUCKS COFFEE,MANHATTAN,1559,SECOND AVENUE,10028,2124727972
40398572,DINASTIA CHINA,MANHATTAN,145,WEST   72 STREET,10023,2123623801
40398578,DYCKMAN BAR,MANHATTAN,221,DYCKMAN STREET,10034,6463603018
40398586,JOSEPH'S RISTORANTE,MANHATTAN,3,HANOVER SQUARE,10004,2127471300
40398588,WORLD CUP CAFE,MANHATTAN,956,LEXINGTON AVENUE,10021,2127176888
40398600,BLOCKHEAD'S BURRITOS,MANHATTAN,499,3 AVENUE,10016,2122133332
40398642,LA LECHONERA CRIOLLA,BRONX,1709,WEBSTER AVENUE,10457,7182940400
40398658,CAFE 75 BAR,QUEENS,7518,ROOSEVELT AVENUE,11372,7184299810
40398688,MASTER WOK,BROOKLYN,5100,KINGS PLAZA SHOPPING CT,11234,7182586943
40398689,CAFFEE EXPRESS,QUEENS,25-51,STEINWAY STREET,11103,7182745980
40398690,DOC HOLIDAYS,MANHATTAN,141,AVENUE A,10009,2129790312
40398700,FAMOUS PIZZA,QUEENS,7512,37 AVENUE,11372,7182055000
40398767,HANSON RESTAURANT AND PIZZERIA,BROOKLYN,13,HANSON PLACE,11217,7186380967
40398795,VIXENS,QUEENS,6007,METROPOLITAN AVENUE,11385,7188217222
40398796,STARBUCKS COFFEE,MANHATTAN,1117,LEXINGTON AVENUE,10075,2125178476
40398811,RICK'S CABARET,MANHATTAN,50,WEST 33 STREET,10001,2123720850
40398852,ENZO CAFE,BRONX,2339,ARTHUR AVENUE,10458,7187334455
40398899,KNAPP ST PIZZA II,BROOKLYN,261,AVENUE X,11223,7183760174
40398904,CHOY LE CHINESE RESTAURANT,BROOKLYN,425,AVENUE U,11223,7183765706
40398910,JOE'S PIZZA,BRONX,1858,ARCHER STREET,10460,7189310226
40398913,MUMBLES,MANHATTAN,200,EAST   17 STREET,10003,2124776066
40398948,HENNY'S RESTAURANT,STATEN ISLAND,2187,RICHMOND AVENUE,10314,7187618379
40398958,LOLITA'S RESTAURANT,BRONX,356,EAST  148 STREET,10455,7182923942
40398989,FRESCO,MANHATTAN,34,EAST   52 STREET,10022,2129353434
40399007,CANDLE CAFE,MANHATTAN,1307,3 AVENUE,10021,2124720970
40399057,9TH AVE SALOON,MANHATTAN,656,9 AVENUE,10036,2123071503
40399090,EUROPA CAFE,MANHATTAN,1177,AVENUE OF THE AMERICAS,10036,2125757272
40399095,SALE & PEPE,MANHATTAN,1,EXCHANGE PLAZA,10006,2129687700
40399099,STARBUCKS COFFEE,MANHATTAN,1445,1 AVENUE,10021,2124727784
40399136,ROCKEFELLER U/ABBY BLDG,MANHATTAN,1252,YORK AVENUE,10065,2123278890
40399165,MUGS ALE HOUSE BAR,BROOKLYN,125,BEDFORD AVENUE,11211,7184868232
40399174,GIGINO TRATTORIA,MANHATTAN,323,GREENWICH STREET,10013,2124311112
40399176,SONY MUSIC EMPLOYEE CAFETERIA,MANHATTAN,550,MADISON AVENUE,10022,2128338050
40399217,EL REY MEXICAN RESTAURANT,QUEENS,2521,ASTORIA BOULEVARD,11102,7185452292
40399256,SINGAS FAMOUS PIZZA,QUEENS,8286,BROADWAY,11373,7186513190
40399279,POMODORO RISTORANTE,MANHATTAN,229,COLUMBUS AVENUE,10023,2127213009
40399285,BANGKOK GRAND PALACE,MANHATTAN,882,FIRST AVENUE,10022,2129088834
40399329,ARTE RESTAURANT,MANHATTAN,21,EAST 9 STREET,10003,2124730077
40399334,ACAPPELLA RESTAURANT,MANHATTAN,1,HUDSON STREET,10013,2122400163
40399340,COFFEE SHOP,BROOKLYN,150,55 STREET,11220,7186307145
40399356,O'HANLON'S,QUEENS,118-12,QUEENS BOULEVARD,11375,7185209550
40399359,JOHN & TONYS PIZZA,MANHATTAN,1097,1 AVENUE,10065,2123714965
40399372,TURKISH KITCHEN,MANHATTAN,386,3 AVENUE,10016,2126796633
40399373,LA BARCA RESTAURANT,MANHATTAN,3892,BROADWAY,10032,2129281090
40399422,PIZZA CHEF,QUEENS,153-81,CROSS ISLAND PARKWAY,11357,7187461255
40399472,OLIVE GARDEN ITALIAN RESTAURANT,MANHATTAN,2,TIMES SQUARE,10036,2123333254
40399523,FOLEY'S N.Y. PUB AND RESTAURANT,MANHATTAN,18,WEST   33 STREET,10001,2122900080
40399534,IGUANAS,QUEENS,17911,UNION TURNPIKE,11366,7189695447
40399560,SARDIS RESTAURANT,MANHATTAN,234,WEST   44 STREET,10036,2122218440
40399561,PICK-A-BAGEL,MANHATTAN,297,3 AVENUE,10010,2126861414
40399569,JUDGE ROY BEAN,MANHATTAN,38,WEST 56 STREET,10019,2122628300
40399581,PIO PIO,QUEENS,62-30,WOODHAVEN BOULEVARD,11374,7184580606
40399611,MIKE'S COFFEE SHOP,BROOKLYN,328,DEKALB AVENUE,11205,7188571462
40399613,FLAGSHIP DINER,QUEENS,13830,QUEENS BOULEVARD,11435,7185236020
40399620,LA LINEA LOUNGE,MANHATTAN,15,FIRST AVENUE,10003,2127771571
40399652,GREEN TREES,MANHATTAN,625,8 AVENUE,10018,2128680772
40399672,BAGELS & CREAM DELI,QUEENS,80-02,SURREY PLACE,11432,7189692640
40399729,GLORY DELI,QUEENS,4630,VERNON BOULEVARD,11101,7184721113
40399739,"DUNKIN' DONUTS, BASKIN ROBBINS",QUEENS,6103,FLUSHING AVENUE,11378,7184170918
40399751,NOODLE PUDDING,BROOKLYN,38,HENRY STREET,11201,7186253737
40399770,MICHAEL'S PASTRY SHOP,BROOKLYN,2923,AVENUE R,11229,7183769200
40399778,MCDONALD'S,BRONX,599,GRAND CONCOURSE,10451,7184028608
40399784,UNCLE NICKS,MANHATTAN,747,9 AVENUE,10019,2122457992
40399787,STARBUCKS COFFEE,MANHATTAN,1128,3 AVENUE,10065,2124726535
40399810,INTERNATIONAL RESTAURANT,BROOKLYN,4408,5 AVENUE,11220,7184382009
40399817,NOVITA,MANHATTAN,102,EAST 22 STREET,10010,2126772222
40399834,HAN GAWI,MANHATTAN,12,EAST   32 STREET,10016,2122130077
40399852,HANGAR BAR,MANHATTAN,115,CHRISTOPHER STREET,10014,2126272044
40399867,DOMINO'S PIZZA,MANHATTAN,181,CHURCH STREET,10007,2125668888
40399886,DUNKIN' DONUTS,QUEENS,6908,GRAND AVENUE,11378,7187797459
40399910,PIECES,MANHATTAN,8,CHRISTOPHER STREET,10014,2129299291
40399911,LENNY'S PIZZA,BROOKLYN,1969,86 STREET,11214,7189461292
40399922,WHITE CASTLE,MANHATTAN,20922094,7TH AVE,10027,2126663556
40399955,SCHICK'S MANOR,BROOKLYN,4901,12 AVENUE,11219,7188536329
40399970,TAI PAN BAKERY,MANHATTAN,194,CANAL STREET,10013,2127322222
40399986,FIFTH AVE CAFE /DINER,BROOKLYN,432,5 AVENUE,11215,7188328141
40399988,ROLEN BAGELS,BRONX,3601,RIVERDALE AVENUE,10463,7186015357
40399996,VILLA MONTE PIZZERIA,STATEN ISLAND,240,ARDEN AVENUE,10312,7189847100
40400021,DOYLE'S CORNER,QUEENS,4202,BROADWAY,11103,7186062777
40400039,CAFE GITANE,MANHATTAN,242,MOTT STREET,10012,2123349552
40400049,PANYA/THE BARREL,MANHATTAN,810,STUYVESANT STREET,10003,2125980454
40400086,GIARDINO RISTORANTE,QUEENS,4437,DOUGLASTON PARKWAY,11363,7184281090
40400096,CIRCLE'S GRILL,BROOKLYN,9023,3 AVENUE,11209,7187487470
40400129,LA CARIDAD RESTAURANT,MANHATTAN,2092,AMSTERDAM AVENUE,10032,2129237648
40400141,LOMZYMIANKA RESTAURANT,BROOKLYN,646,MANHATTAN AVENUE,11222,7183899439
40400149,CHINA GLATT,BROOKLYN,4413,13 AVENUE,11219,7184382576
40400155,BUS STOP CAFE,MANHATTAN,597,HUDSON STREET,10014,2122061100
40400172,MATT'S GRILL RESTAURANT,MANHATTAN,932,8 AVENUE,10019,2123075109
40400185,CAFE BEYOND,MANHATTAN,620,6 AVENUE,10011,2126209752
40400198,CABANA,QUEENS,107-12,70 ROAD,11375,7182633600
40400204,STARBUCKS COFFEE,MANHATTAN,585,2 AVENUE,10016,2126841299
40400209,WHEELERS,BROOKLYN,1705,SHEEPSHEAD BAY ROAD,11235,7186469320
40400251,QUENTIN PIZZA,BROOKLYN,3211,QUENTIN ROAD,11234,7183765884
40400270,CREATE & GO,MANHATTAN,111,EAST   55 STREET,10022,2123081515
40400314,SWEET LIFE CAFE,MANHATTAN,147,CHRISTOPHER STREET,10014,2128070003
40400315,CAMPUS EATERY,MANHATTAN,31,WEST    4 STREET,10012,2124753600
40400324,BANGKOK THAI HOUSE,BROOKLYN,6735,3 AVENUE,11220,7187489354
40400355,T.G.I. FRIDAY'S,BROOKLYN,2761,Plumb    2 Street,11235,7189345700
40400366,VIN ET FLEURS,MANHATTAN,69,THOMPSON STREET,10012,2129665417
40400418,STARBUCKS COFFEE,MANHATTAN,152,COLUMBUS AVENUE,10023,2127210470
40400429,BONELLE PASTRY SHOP,QUEENS,10830,ASCAN AVENUE,11375,7185751792
40400453,CAFE EIGHTY TWO,MANHATTAN,2282,BROADWAY,10024,2128758373
40400473,DOMINO'S PIZZA,MANHATTAN,170,WEST   23 STREET,10011,2122435700
40400483,STARBUCKS COFFEE,MANHATTAN,2252,BROADWAY,10024,2127211267
40400489,D.B.A.,MANHATTAN,41,1 AVENUE,10003,2124755097
40400492,AVELLINO RESTAURANT,QUEENS,9703,64 AVENUE,11374,7184590632
40400493,BARNES & NOBLE CAFE,QUEENS,23-80,BELL BOULEVARD,11360,7182241084
40400531,SMILER'S,MANHATTAN,719,SEVENTH AVENUE,10036,2127040850
40400539,ALL AMERICAN COFFEE SHOP,QUEENS,3519,37 AVENUE,11101,7189376161
40400544,THE ARCH DINER,BROOKLYN,1866,RALPH AVENUE,11234,7185313718
40400556,LEGEND'S PUB,STATEN ISLAND,1975,VICTORY BOULEVARD,10314,7184421320
40400559,MULLIGAN'S PUB,MANHATTAN,267,MADISON AVENUE,10016,2122860207
40400561,FORTUNATO BROS CAFE & BAKERY,BROOKLYN,289,MANHATTAN AVENUE,11211,7183872281
40400610,MOUSTACHE RESTAURANT,MANHATTAN,90,BEDFORD STREET,10014,2122292220
40400635,GRAMERCY CAFE,MANHATTAN,184,3 AVENUE,10003,2129822121
40400638,CAFE PARIS,BROOKLYN,3178,CONEY ISLAND AVE,11235,7186460800
40400641,TOUCH OF DEE'S,MANHATTAN,657,LENOX AVENUE,10037,2126949530
40400652,ANTHONY'S PLACE,BROOKLYN,2110,AVENUE X,11235,7187438099
40400657,T-BAR STEAK & LOUNGE,MANHATTAN,1278,3 AVENUE,10021,2127720404
40400681,JJ PEABODY'S,QUEENS,27111,UNION TURNPIKE,11040,7183472044
40400686,PEKING DUCK HOUSE,MANHATTAN,236,EAST   53 STREET,10022,2127598260
40400702,ELLEN'S STARDUST DINER,MANHATTAN,1650,BROADWAY,10019,2129565151
40400710,IL BUCO RESTAURANT,MANHATTAN,47,BOND STREET,10012,2125331932
40400739,STARBUCKS COFFEE,MANHATTAN,1325,ASTOR PLACE,10003,2129823563
40400754,RYAN MAGUIRE'S BAR & RESTAURANT,MANHATTAN,28,CLIFF STREET,10038,2125666906
40400799,FORDHAM FRIED CHICKEN & SEA FOOD,BRONX,161,EAST  188 STREET,10468,7183647227
40400810,THE SCRATCHER CAFE,MANHATTAN,209,EAST    5 STREET,10003,2124770030
40400811,CAFE VOLNA,BROOKLYN,3145,BRIGHTON    4 STREET,11235,7183320341
40400831,PJ HORGAN'S PUB,QUEENS,4217,QUEENS BOULEVARD,11104,7187299584
40400890,STARTING GATE,QUEENS,59-10,WOODSIDE AVENUE,11377,7184299269
40400898,VILLAGE MARIA PIZZA II,STATEN ISLAND,768,MANOR ROAD,10314,7183701818
40400935,TWO BOOTS TO GO WEST,MANHATTAN,75,GREENWICH AVENUE,10014,2126339096
40400957,ROHM THAI,MANHATTAN,27,EAST 20 STREET,10003,2122287681
40400962,WHITE CASTLE,MANHATTAN,351,EAST  103 STREET,10029,2128766737
40400976,IRISH PUNT,MANHATTAN,40,EXCHANGE PLACE,10005,2124227868
40400989,THREE OF CUPS,MANHATTAN,83,1 AVENUE,10003,2123880059
40400992,ANNIE MOORE'S RESTAURANT,MANHATTAN,50,EAST   43 STREET,10017,2129867826
40400997,SCORPIO BAR,QUEENS,6908,ROOSEVELT AVENUE,11377,7184248084
40401000,DOWNTOWN BAKERY II MEXICAN FOOD,MANHATTAN,69,1 AVENUE,10003,2122541757
40401002,JONNY MACK'S BAR,BROOKLYN,1114,8 AVENUE,11215,7188327961
40401019,QUICK STOP RESTAURANT,BROOKLYN,147,27 STREET,11232,7184990776
40401025,SAVORE,MANHATTAN,200,SPRING STREET,10012,2124311212
40401060,NAIM KOSHER PIZZA,BROOKLYN,3904,15 AVENUE,11218,7184383569
40401066,SALAM CAFE & REST,MANHATTAN,104,W. 13TH ST. (UNIT ONE),10011,2127410277
40401084,MCCABE'S BAR CAR,QUEENS,3915,192 STREET,11358,7183579886
40401093,FRENCH ROAST,MANHATTAN,2340,BROADWAY,10024,2127991533
40401094,HAPPY FORTUNE II,STATEN ISLAND,770,MANOR ROAD,10314,7183708383
40401104,1020 BAR,MANHATTAN,1020,AMSTERDAM AVENUE,10025,2125313468
40401151,EL OLIVO,QUEENS,21-15,31 STREET,11105,7189324040
40401155,D'AQUILA BAKERY,QUEENS,3331,FRANCIS LEWIS BOULEVARD,11358,7188864800
40401160,LA CABANA SALVADORENA RESTAURANT,MANHATTAN,4384,BROADWAY,10040,2129287872
40401173,BIG BAR,MANHATTAN,73,EAST    7 STREET,10003,2127776969
40401177,ASTROMUNDO RESTAURANT,BROOKLYN,405407,45 ST,11220,7188534747
40401216,EL RINCONCITO RESTAURANT,MANHATTAN,408,EAST   10 STREET,10009,2122541381
40401217,CITY CRAB,MANHATTAN,235,PARK AVENUE SOUTH,10003,2125293800
40401223,J AND L DELI,BROOKLYN,682,5 AVENUE,11215,7187887894
40401224,LA CASA BELLA,BROOKLYN,2579,CROPSEY AVENUE,11214,7184490200
40401247,SHENANIGANS PUB,BROOKLYN,802,CATON AVENUE,11218,7186333689
40401250,CELESTE'S SNACK BAR,BRONX,2028,WHITE PLAINS ROAD,10462,7187926665
40401251,CITY PIE,MANHATTAN,166,WEST   72 STREET,10023,2125806969
40401316,PELHAM BAY DINER,BRONX,1920,EAST GUN HILL ROAD,10469,7183792123
40401352,HEARTLAND BREWERY,MANHATTAN,35,UNION SQUARE WEST,10003,2126453400
40401422,BROADWAY DIVE,MANHATTAN,2662,BROADWAY,10025,2128652662
40401445,IHOP,BROOKLYN,2101,RALPH AVENUE,11234,7182512262
